topic,question,option_a,option_b,option_c,option_d,correct_answer
Enviorment,"Which of the following are the key features of ‘National Ganga River Basin Authority
NGRB","?
1. River basin is the unit of planning and management.
2. It spearheads the river conservation efforts at the national level.
3. One of the Chief Ministers of the States through which the Ganga flows becomes the
Chairman of NGRBA on rotation basis.
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,a
Enviorment,"Consider the following pairs:
SI. No. Terms sometimes seen in the news Their origin
1. Annex-I Countries : Cartagena Protocol
2. Certified Emissions Reductions : Nagoya Protocol
3. Clean Development Mechanisms : Kyoto Protocol
Which of the pairs given above is/are correctly matched?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",c
Enviorment,"Which of the following best describes/ describe the aim of the ‘Green India Mission’ of
the Government of India?
1. Incorporating environmental benefits and costs into the Union and State Budgets
thereby implementing the ‘green accounting’
2. Launching the second green revolution to enhance agricultural output so as to ensure
food security to one and all in the future
3. Restoring and enhancing forest cover and responding to climate change by a
combination of adaptation and mitigation measures
Select the correct answer using the code given below:",1 only,2 and 3 only,3 only,"1, 2 and 3",c
Enviorment,‘Net metering’ is sometimes seen in the news in the context of promoting the,production and use of solar energy by the households/consumers,use of piped natural gas in the kitchens of households,installation of CNG kits in motor-cars,installation of water meters in urban households,a
Enviorment,"What is/are unique about ‘Kharai camel’, a breed found in India?
1. It is capable of swimming up to three kilometers in seawater.
2. It survives by grazing on mangroves.
3. It lives in the wild and cannot be domesticated.
Select the correct answer using the code given below:",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",a
Enviorment,"Recently, our scientists have discovered a new and distinct species of banana plant
which attains a height of about 11 meters and has orange-coloured fruit pulp. In which part
of India has it been discovered?",Andaman Islands,Anaimalai Forests,Maikala Hills,Tropical rain forests of northeast,a
Enviorment,"With reference to an initiative called ‘The Economics of Ecosystems and Biodiversity
TEE","’, which of the following statements is/are correct?
1. It is an initiative hosted by UNEP, IMF and World Economic Forum.
2. It is a global initiative that focuses on drawing attention to the economic benefits of
biodiversity.
3. It presents an approach that can help decision makers recognize, demonstrate and
capture the value of ecosystems and biodiversity.
Select the correct answer using the code given below.",1 and 2 only,3 only,2 and 3 only,c
Enviorment,"With reference to ‘Red Sanders’, sometimes seen in the news, consider the following
statements:
1. It is a tree species found in a part of South India.
2. It is one of the most important trees in the tropical rainforest areas of South India.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Enviorment,"Which of the following statements is/are correct?
Proper design and effective implementation of UN-REDD+ Programme can significantly
contribute to
1. protection of biodiversity
2. resilience of forest ecosystems
3. poverty reduction
Select the correct answer using the code given below.",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",d
Enviorment,What is the ‘Greenhouse Gas Protocol’?,"It is an international accounting tool for government and business leaders to
understand, quantify and manage greenhouse gas emissions.","It is an initiative of the United Nations to offer financial incentives to developing
countries to reduce greenhouse gas emissions and to adopt eco friendly technologies.","It is an intergovernmental agreement ratified by all the member countries of the United
Nations to reduce greenhouse gas emissions to specified levels by the year 2022.",It is one of the multilateral REDD+ initiatives hosted by the World Bank.,a
Enviorment,"With reference to ‘Agenda 21’, sometimes seen in the news, consider the following
statements:
1. It is a global action plan for sustainable development.
2. It originated in the World Summit on Sustainable Development held in Johannesburg in
2002.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Enviorment,"‘Gadgil Committee Report’ and ‘Kasturirangan Committee Report’, sometimes seen
in the news, are related to",constitutional reforms,Ganga Action Plan,linking of rivers,protection of Western Ghats,d
Enviorment,"Consider the following statements:
1. The International Solar Alliance was launched at the United Nations Climate Change
Conference in 2015.
2. The Alliance includes all the member countries of the United Nations.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Enviorment,"In the cities of our country, which among the following atmospheric gases are
normally considered in calculating the value of Air Quality Index?
1. Carbon dioxide
2. Carbon monoxide
3. Nitrogen dioxide
4. Sulfur dioxide
5. Methane
Select the correct answer using the code given below.","1, 2 and 3 only","2, 3 and 4 only","1, 4 and 5 only","1, 2, 3, 4 and 5",b
Enviorment,"Recently, for the first time in our country, which of the following States has declared a
particular butterfly as ‘State Butterfly’?",Arunachal Pradesh,Himachal Pradesh,Karnataka,Maharashtra,d
Enviorment,"With reference to the Agreement at the UNFCCC Meeting in Paris in 2015, which of
the following statements is/are correct?
1. The Agreement was signed by all the member countries of the UN and it will go into
effect in 2017.
2. The Agreement aims to limit the greenhouse gas emissions so that the rise in average
global temperature by the end of this century does not exceed 2°C or even 1.5°C above
pre-industrial levels.
3. Developed countries acknowledged their historical responsibility in global warming and
committed to donate $ 1000 billion a year from 2020 to help developing countries to cope
with climate change.
Select the correct answer using the code given below.",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",a
Enviorment,"Consider the following statements:
1. The Sustainable Development Goals were first proposed in 1972 by a global think tank
called the ‘Club of Rome’.
2. The Sustainable Development Goals have to be achieved by 2030.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b
Enviorment,"Which of the following National Parks is unique in being a swamp with floating
vegetation that supports a rich biodiversity?",Bhitarkanika National Park,Keibul Lamjao National Park,Keoladeo Ghana National Park,Sultanpur National Park,b
Enviorment,"With reference to the International Union for Conservation of Nature and Natural
Resource (IUCN) and the Convention of International Trade in Endangered Species of
Wild Fauna and Flora (CITES), which of the following statements is/are correct ?
1. IUCN is an organ of the United Nations and CITES is an international agreement
between governments.
2. IUCN runs thousands of field projects around the world to better manage natural
environments.
3. CITES is legally binding on the States that have joined it, but this Conventional does not
take the place of national laws.
Select the correct answer using the codes given below.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b
Enviorment,"With reference to 'fly ash' produced by the power plants using coal as fuel, which of
the following statements is/are correct?
1. Fly ash can be used in the production of bricks for building construction.
2. Fly ash can be used as a replacement for some of the Portland cement contents of
concrete.
3. Fly ash is made up of silicon dioxide and calcium oxide only, and does not contain any
toxic elements.
Select the correct answer using the codes given below.",1 and 2,2 only,1 and 3,3 only,a
Enviorment,"With reference to 'dugong', a mammal found in India, which of the following
statements is/are correct ?
1. It is a herbivorous marine animal.
2. It is found along the entire coast of India.
3. It is given legal protection under Schedule I of the Wildlife (Protection) Act, 1972.
Select the correct answer using the codes given below.",1 and 2,2 only,1 and 3,3 only,c
